"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"120","Carroll County, Arkansas",6.8,"9.8 (9.3, 10.4)","0.7 (0.6, 0.7)",10,52.6,0.3,3.4
"121","Chicot County, Arkansas",2.2,"15.8 (15.1, 16.4)","0.4 (0.3, 0.4)",15,58,44.3,1.2
"122","Clark County, Arkansas",3.8,"12.6 (12, 13.2)","0.5 (0.5, 0.5)",11.5,56,20.7,1
"123","Clay County, Arkansas",3.1,"10.7 (10.2, 11.3)","0.3 (0.3, 0.4)",12,56.4,0.4,0.8
"124","Cleburne County, Arkansas",6.9,"11 (10.5, 11.6)","0.8 (0.7, 0.8)",13.1,53.7,0.3,0.8
"125","Cleveland County, Arkansas",1.7,"11.2 (10.6, 11.8)","0.2 (0.2, 0.2)",11,54.8,10,1.5
"126","Columbia County, Arkansas",4.2,"14.1 (13.4, 14.7)","0.6 (0.6, 0.6)",14.2,57,28,1
"127","Conway County, Arkansas",4.2,"11.8 (11.2, 12.4)","0.5 (0.5, 0.5)",12.5,53.8,11.7,1.3
"128","Craighead County, Arkansas",15.9,"10.8 (10.2, 11.3)","1.7 (1.6, 1.8)",12,57.2,4.8,1.4
"129","Crawford County, Arkansas",11.2,"10.2 (9.6, 10.7)","1.1 (1.1, 1.2)",10.6,54.8,0.9,2.3
"130","Crittenden County, Arkansas",6.9,"13.2 (12.6, 13.9)","0.9 (0.9, 1)",10.2,57.2,38.9,1.1
"131","Cross County, Arkansas",3.1,"12.1 (11.5, 12.7)","0.4 (0.4, 0.4)",10.9,55.2,18.7,0.7
"132","Dallas County, Arkansas",1.7,"14.1 (13.5, 14.7)","0.2 (0.2, 0.3)",13.3,57.3,34.8,0.9
"133","Desha County, Arkansas",2.2,"13.4 (12.7, 14)","0.3 (0.3, 0.3)",9.4,55.9,41.3,1.7
"134","Drew County, Arkansas",3.3,"13.3 (12.7, 13.9)","0.4 (0.4, 0.5)",13.3,56.4,23.7,0.6
"135","Faulkner County, Arkansas",16.9,"10.2 (9.7, 10.8)","1.7 (1.6, 1.8)",10.1,56,5.5,1.1
"136","Franklin County, Arkansas",3.6,"10.9 (10.3, 11.4)","0.4 (0.4, 0.4)",12.8,54.7,0.4,1.4
"137","Fulton County, Arkansas",3.3,"10.6 (10, 11.1)","0.3 (0.3, 0.4)",12,52.9,0.5,0.8
"138","Garland County, Arkansas",24.7,"10.8 (10.2, 11.4)","2.7 (2.5, 2.8)",11.5,55.2,4.5,1.6
"139","Grant County, Arkansas",3.5,"10.4 (9.9, 10.9)","0.4 (0.3, 0.4)",11.2,54.4,2.3,0.7
"140","Greene County, Arkansas",7.6,"10.2 (9.6, 10.7)","0.8 (0.7, 0.8)",10.7,56.3,0.5,1.1
"141","Hempstead County, Arkansas",4.1,"13.2 (12.5, 13.8)","0.5 (0.5, 0.6)",12.2,54.9,25.6,3.8
"142","Hot Spring County, Arkansas",6.7,"10.6 (10.1, 11.2)","0.7 (0.7, 0.8)",10.7,54.5,8.5,1.1
"143","Howard County, Arkansas",2.4,"12.6 (11.9, 13.2)","0.3 (0.3, 0.3)",12.8,55.2,17.5,2
"144","Independence County, Arkansas",7,"10.7 (10.2, 11.3)","0.7 (0.7, 0.8)",12.3,55.4,1.3,1.4
"145","Izard County, Arkansas",3.6,"11.1 (10.5, 11.6)","0.4 (0.4, 0.4)",13.2,52.4,0.6,1
"146","Jackson County, Arkansas",3.1,"11.1 (10.6, 11.7)","0.3 (0.3, 0.4)",10.8,55.3,11,1.1
"147","Jefferson County, Arkansas",12.2,"14.2 (13.6, 14.8)","1.7 (1.7, 1.8)",11.3,56.3,44.9,0.7
"148","Johnson County, Arkansas",4.6,"10.5 (9.9, 11.1)","0.5 (0.5, 0.5)",11.5,53.4,1.1,4.4
"149","Lafayette County, Arkansas",1.7,"13.8 (13.2, 14.4)","0.2 (0.2, 0.2)",11.4,54.2,30.6,1
"150","Lawrence County, Arkansas",3.2,"11.3 (10.8, 11.9)","0.4 (0.3, 0.4)",12.9,54.8,2.3,0.3
"151","Lee County, Arkansas",1.8,"16.1 (15.4, 16.8)","0.3 (0.3, 0.3)",14,56.7,48.4,2.1
"152","Lincoln County, Arkansas",2.1,"13 (12.4, 13.6)","0.3 (0.3, 0.3)",13.2,55,19.6,1.4
"153","Little River County, Arkansas",2.6,"11.7 (11.1, 12.3)","0.3 (0.3, 0.3)",10.6,55.2,17,1.3
"154","Logan County, Arkansas",4.4,"10.3 (9.7, 10.8)","0.5 (0.4, 0.5)",10.5,54.5,1.4,1.3
"155","Lonoke County, Arkansas",10.7,"10.3 (9.8, 10.9)","1.1 (1.1, 1.2)",9.9,55.7,6.1,1.2
"156","Madison County, Arkansas",3.3,"9.9 (9.4, 10.4)","0.3 (0.3, 0.3)",10.4,52.5,0.3,1.3
"157","Marion County, Arkansas",4.9,"9.7 (9.1, 10.2)","0.5 (0.4, 0.5)",9.4,51.4,0.4,1.3
"158","Miller County, Arkansas",7.6,"12 (11.4, 12.5)","0.9 (0.9, 0.9)",10.9,56.2,18.5,1.7
"159","Mississippi County, Arkansas",6.2,"12.4 (11.8, 13)","0.8 (0.7, 0.8)",11.3,56.7,25.8,1.5
"160","Monroe County, Arkansas",1.6,"14.2 (13.6, 14.9)","0.2 (0.2, 0.2)",12.8,55.5,33.1,0.8
"161","Montgomery County, Arkansas",2.5,"10.6 (10, 11.1)","0.3 (0.2, 0.3)",11.6,53.1,0.3,1.2
"162","Nevada County, Arkansas",1.7,"13.6 (13, 14.2)","0.2 (0.2, 0.2)",13.1,54.8,27.1,1
"163","Newton County, Arkansas",2.1,"9.7 (9.2, 10.3)","0.2 (0.2, 0.2)",9.3,51.1,0.2,1
"164","Ouachita County, Arkansas",5,"13.6 (13, 14.2)","0.7 (0.7, 0.7)",12.8,57.1,33.6,0.7
