"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"1406","Benton County, Mississippi",1.6,"12.8 (12.2, 13.4)","0.2 (0.2, 0.2)",11.7,54.5,25.6,0.5
"1407","Bolivar County, Mississippi",5.1,"14.2 (13.6, 14.9)","0.7 (0.7, 0.8)",9.6,59.3,55.2,1.2
"1408","Calhoun County, Mississippi",2.9,"12.8 (12.2, 13.4)","0.4 (0.3, 0.4)",13.2,56.6,20.5,1
"1409","Carroll County, Mississippi",2.4,"12.8 (12.2, 13.4)","0.3 (0.3, 0.3)",11.1,51.8,26.4,0.9
"1410","Chickasaw County, Mississippi",3.1,"13.6 (13, 14.2)","0.4 (0.4, 0.4)",12.2,56.6,32.5,1.9
"1411","Choctaw County, Mississippi",1.9,"12.9 (12.3, 13.5)","0.2 (0.2, 0.2)",11.7,56.7,22.2,0.6
"1412","Claiborne County, Mississippi",1.5,"17 (16.3, 17.7)","0.3 (0.2, 0.3)",12,57.2,70.3,1.1
"1413","Clarke County, Mississippi",3.3,"12.6 (12.1, 13.2)","0.4 (0.4, 0.4)",10.3,55.8,27.8,0.5
"1414","Clay County, Mississippi",3.7,"14.5 (13.8, 15.1)","0.5 (0.5, 0.6)",12.2,57.1,43.1,1
"1415","Coahoma County, Mississippi",3.5,"15.7 (15.1, 16.4)","0.6 (0.5, 0.6)",11,57.1,61,0.9
"1416","Copiah County, Mississippi",5.2,"13.6 (13, 14.3)","0.7 (0.7, 0.7)",11.4,55.8,38.4,0.9
"1417","Covington County, Mississippi",3.2,"12.6 (12, 13.2)","0.4 (0.4, 0.4)",11.1,54.9,26.2,1.1
"1418","DeSoto County, Mississippi",25.6,"10.9 (10.3, 11.4)","2.8 (2.6, 2.9)",9.2,56.2,17.6,1.6
"1419","Forrest County, Mississippi",10.7,"12.9 (12.3, 13.5)","1.4 (1.3, 1.4)",12.6,57.6,25.4,1.1
"1420","Franklin County, Mississippi",1.6,"12.5 (11.9, 13.1)","0.2 (0.2, 0.2)",11.3,52.9,23.8,0.9
"1421","George County, Mississippi",3.7,"9.2 (8.7, 9.7)","0.3 (0.3, 0.4)",6,54,6.8,0.7
"1422","Greene County, Mississippi",2.1,"11.7 (11.1, 12.2)","0.2 (0.2, 0.3)",10.2,54.1,14.9,1.2
"1423","Grenada County, Mississippi",3.8,"12.7 (12.1, 13.2)","0.5 (0.5, 0.5)",9.3,57.2,33.1,0.9
"1424","Hancock County, Mississippi",10.2,"10 (9.5, 10.5)","1 (1, 1.1)",9,54.3,5.6,2.1
"1425","Harrison County, Mississippi",33.4,"11 (10.5, 11.6)","3.7 (3.5, 3.9)",9.7,54.8,16.2,2.2
"1426","Hinds County, Mississippi",35.3,"15.5 (14.8, 16.1)","5.5 (5.2, 5.7)",11.4,58.5,59.7,0.3
"1427","Holmes County, Mississippi",2.7,"17.3 (16.6, 18)","0.5 (0.5, 0.5)",11.8,57.4,72.1,1.1
"1428","Humphreys County, Mississippi",1.4,"16.2 (15.5, 16.9)","0.2 (0.2, 0.2)",10.7,58.4,61.1,1.6
"1429","Issaquena County, Mississippi",0.2,"16.1 (15.4, 16.7)","0 (0, 0)",14.5,54.8,41.2,0.9
"1430","Itawamba County, Mississippi",4.3,"10.9 (10.4, 11.5)","0.5 (0.4, 0.5)",11.6,56.5,5.1,1
"1431","Jackson County, Mississippi",24.1,"11 (10.4, 11.5)","2.6 (2.5, 2.8)",9.1,54.5,16.6,2
"1432","Jasper County, Mississippi",3.4,"14.2 (13.6, 14.9)","0.5 (0.5, 0.5)",10.5,54.8,41.5,0.7
"1433","Jefferson County, Mississippi",1.3,"18.2 (17.5, 19)","0.2 (0.2, 0.2)",13.4,59.5,74.4,0.3
"1434","Jefferson Davis County, Mississippi",2.6,"15 (14.3, 15.6)","0.4 (0.4, 0.4)",11.5,56.3,47.4,0.5
"1435","Jones County, Mississippi",12.2,"12.1 (11.5, 12.7)","1.5 (1.4, 1.5)",11.4,56,20.3,1.1
"1436","Kemper County, Mississippi",2.1,"16.6 (15.9, 17.3)","0.4 (0.3, 0.4)",15.7,55.3,47.3,0.7
"1437","Lafayette County, Mississippi",7.6,"11.1 (10.5, 11.6)","0.8 (0.8, 0.9)",9.4,56.2,18.4,1
"1438","Lamar County, Mississippi",9.5,"10.8 (10.2, 11.3)","1 (1, 1.1)",10.7,55.6,9.8,1.1
"1439","Lauderdale County, Mississippi",13.5,"13.5 (12.9, 14.1)","1.8 (1.7, 1.9)",12.3,57.3,31.6,0.8
"1440","Lawrence County, Mississippi",2.4,"11.8 (11.2, 12.4)","0.3 (0.3, 0.3)",8.4,53.6,27.4,0.7
"1441","Leake County, Mississippi",3.9,"13.2 (12.6, 13.8)","0.5 (0.5, 0.5)",11.9,56.7,31.4,1.1
"1442","Lee County, Mississippi",13.2,"11.6 (11, 12.2)","1.5 (1.5, 1.6)",10.5,58.2,18.4,0.9
"1443","Leflore County, Mississippi",4.2,"15.9 (15.3, 16.6)","0.7 (0.6, 0.7)",11.9,59,59.2,1.3
"1444","Lincoln County, Mississippi",6.1,"12 (11.4, 12.5)","0.7 (0.7, 0.8)",10.7,57.4,22.8,0.9
"1445","Lowndes County, Mississippi",9.7,"13.2 (12.6, 13.8)","1.3 (1.2, 1.3)",11.2,57.4,34,1
"1446","Madison County, Mississippi",15.4,"11.4 (10.9, 12)","1.8 (1.7, 1.8)",9.1,56.2,27,1
"1447","Marion County, Mississippi",4.7,"13.1 (12.4, 13.7)","0.6 (0.6, 0.6)",13.4,56.8,25.1,1
"1448","Marshall County, Mississippi",6.5,"13.2 (12.6, 13.8)","0.9 (0.8, 0.9)",9.7,56.1,39.1,1.3
"1449","Monroe County, Mississippi",7.1,"12.6 (12, 13.2)","0.9 (0.9, 0.9)",11.2,57.1,24.1,0.7
"1450","Montgomery County, Mississippi",2.2,"13.8 (13.2, 14.4)","0.3 (0.3, 0.3)",11.8,55.4,35.4,1.3
"1451","Neshoba County, Mississippi",4.8,"11.7 (11.1, 12.3)","0.6 (0.5, 0.6)",11.1,55.2,16.8,0.8
"1452","Newton County, Mississippi",3.6,"12.5 (12, 13.1)","0.5 (0.4, 0.5)",10.7,57.3,24.3,0.9
"1453","Noxubee County, Mississippi",1.8,"16.1 (15.4, 16.7)","0.3 (0.3, 0.3)",12.1,57.4,59.1,0.5
"1454","Oktibbeha County, Mississippi",6,"13.8 (13.2, 14.4)","0.8 (0.8, 0.9)",13,55.9,32.8,0.8
"1455","Panola County, Mississippi",5.7,"12.5 (11.9, 13.1)","0.7 (0.7, 0.7)",9.7,55.5,33,1
"1456","Pearl River County, Mississippi",11,"10.3 (9.8, 10.9)","1.1 (1.1, 1.2)",9.1,54.3,8.6,1.8
"1457","Perry County, Mississippi",2.3,"11.8 (11.2, 12.3)","0.3 (0.3, 0.3)",10.7,55.1,16.3,0.9
"1458","Pike County, Mississippi",6.9,"13.6 (13, 14.2)","0.9 (0.9, 1)",10.8,57.4,40.1,1
"1459","Pontotoc County, Mississippi",5.1,"11.6 (11, 12.1)","0.6 (0.6, 0.6)",11.6,55.8,13,1.6
"1460","Prentiss County, Mississippi",4.7,"11.7 (11.1, 12.2)","0.5 (0.5, 0.6)",12.5,58.6,9.2,1
"1461","Quitman County, Mississippi",1.3,"15.2 (14.5, 15.8)","0.2 (0.2, 0.2)",10.8,58.6,54.6,1
"1462","Rankin County, Mississippi",25.4,"11.2 (10.6, 11.7)","2.8 (2.7, 3)",11,57.1,12.6,1
"1463","Scott County, Mississippi",4.5,"12.9 (12.3, 13.6)","0.6 (0.5, 0.6)",10.9,58.1,31.1,3.2
"1464","Sharkey County, Mississippi",0.9,"16.6 (15.9, 17.2)","0.1 (0.1, 0.1)",15,55.8,57.5,1
"1465","Simpson County, Mississippi",5.1,"12.7 (12.1, 13.3)","0.6 (0.6, 0.7)",11.2,55.3,28.3,0.7
"1466","Smith County, Mississippi",3.3,"12 (11.4, 12.6)","0.4 (0.4, 0.4)",11.8,55.6,17.2,0.8
"1467","Stone County, Mississippi",3.1,"9.9 (9.4, 10.4)","0.3 (0.3, 0.3)",7.6,53.4,12.4,0.9
"1468","Sunflower County, Mississippi",3.7,"15 (14.4, 15.7)","0.6 (0.5, 0.6)",10.5,57.6,58.7,1.1
"1469","Tallahatchie County, Mississippi",2.2,"14.7 (14, 15.3)","0.3 (0.3, 0.3)",12.2,57,42.4,1.3
"1470","Tate County, Mississippi",4.9,"11.6 (11, 12.1)","0.6 (0.5, 0.6)",9,55.8,22.9,1
"1471","Tippah County, Mississippi",3.8,"10.7 (10.2, 11.3)","0.4 (0.4, 0.4)",9.5,56.6,12.3,1.7
"1472","Tishomingo County, Mississippi",4.1,"10.2 (9.6, 10.7)","0.4 (0.4, 0.4)",9.4,55.3,3,1
"1473","Tunica County, Mississippi",1.2,"13.8 (13.2, 14.4)","0.2 (0.2, 0.2)",7.1,56.7,59.5,1.2
"1474","Union County, Mississippi",4.9,"11.3 (10.8, 11.9)","0.6 (0.5, 0.6)",11.2,55.6,11.7,1.1
"1475","Walthall County, Mississippi",3,"13.5 (12.9, 14.1)","0.4 (0.4, 0.4)",12.1,55.5,32.4,1.2
"1476","Warren County, Mississippi",8.1,"13 (12.4, 13.6)","1 (1, 1.1)",10.2,56.2,35.5,1.1
"1477","Washington County, Mississippi",7.5,"14.8 (14.1, 15.4)","1.1 (1.1, 1.1)",9.7,58.7,60.1,0.8
"1478","Wayne County, Mississippi",3.6,"12.9 (12.3, 13.5)","0.5 (0.4, 0.5)",11.1,56,27.9,0.6
"1479","Webster County, Mississippi",1.7,"11.1 (10.5, 11.7)","0.2 (0.2, 0.2)",9.7,56.1,16,0.9
"1480","Wilkinson County, Mississippi",1.5,"15.3 (14.7, 15.9)","0.2 (0.2, 0.2)",11.2,56.9,55.1,0.6
"1481","Winston County, Mississippi",3.8,"13.7 (13.1, 14.3)","0.5 (0.5, 0.5)",11.8,55.6,35.2,0.6
"1482","Yalobusha County, Mississippi",2.6,"12 (11.4, 12.6)","0.3 (0.3, 0.3)",9.4,55,28.1,1.1
"1483","Yazoo County, Mississippi",3.9,"14.7 (14.1, 15.4)","0.6 (0.5, 0.6)",13.2,57.2,42,1.1
"1484","Adair County, Missouri",3.9,"11 (10.4, 11.5)","0.4 (0.4, 0.5)",13.7,56.1,0.3,0.8
"1485","Andrew County, Missouri",3.5,"10.4 (9.9, 10.9)","0.4 (0.3, 0.4)",12,54.2,0.7,0.9
"1486","Atchison County, Missouri",1.3,"11.1 (10.6, 11.7)","0.1 (0.1, 0.2)",14.3,53.9,0.2,0.4
"1487","Audrain County, Missouri",4.7,"11 (10.5, 11.6)","0.5 (0.5, 0.5)",12.2,56.8,4.6,0.6
"1488","Barry County, Missouri",7.8,"10.1 (9.6, 10.7)","0.8 (0.8, 0.8)",10.5,52.5,0.5,2.4
"1489","Barton County, Missouri",2.5,"11.1 (10.5, 11.6)","0.3 (0.3, 0.3)",14,55.2,0.5,0.7
"1490","Bates County, Missouri",3.3,"10.7 (10.1, 11.2)","0.4 (0.3, 0.4)",12,54.4,1.2,0.8
"1491","Benton County, Missouri",6.3,"9.7 (9.2, 10.2)","0.6 (0.6, 0.6)",9.5,51,0.3,0.8
"1492","Bollinger County, Missouri",2.6,"10 (9.5, 10.5)","0.3 (0.2, 0.3)",10.6,52.7,0.4,0.7
"1493","Boone County, Missouri",24.3,"10.5 (10, 11.1)","2.6 (2.4, 2.7)",11.8,55.6,5.6,1.3
"1494","Buchanan County, Missouri",14.9,"11 (10.4, 11.6)","1.6 (1.5, 1.7)",13,56.5,2.7,2.6
"1495","Butler County, Missouri",8.3,"11 (10.4, 11.5)","0.9 (0.9, 1)",12.4,55.7,3.6,0.7
"1496","Caldwell County, Missouri",1.8,"10.8 (10.3, 11.4)","0.2 (0.2, 0.2)",12.8,53.8,0.4,0.8
"1497","Callaway County, Missouri",7.7,"9.9 (9.4, 10.4)","0.8 (0.7, 0.8)",10.4,52.2,2.7,0.8
"1498","Camden County, Missouri",13.6,"9.2 (8.7, 9.7)","1.3 (1.2, 1.3)",8.4,50.3,0.3,0.7
"1499","Cape Girardeau County, Missouri",14,"11.2 (10.6, 11.7)","1.6 (1.5, 1.6)",13.7,56.4,3.3,0.6
"1500","Carroll County, Missouri",1.9,"10.9 (10.3, 11.4)","0.2 (0.2, 0.2)",12.7,53.1,1.8,0.5
"1501","Carter County, Missouri",1.3,"10 (9.4, 10.5)","0.1 (0.1, 0.1)",10.1,54.6,0.2,1.3
"1502","Cass County, Missouri",18.9,"10.8 (10.3, 11.4)","2 (1.9, 2.1)",12.4,56.4,2.7,1.4
"1503","Cedar County, Missouri",3.3,"10.7 (10.1, 11.2)","0.4 (0.3, 0.4)",12.2,53.1,0.3,0.9
"1504","Chariton County, Missouri",1.8,"12.4 (11.8, 12.9)","0.2 (0.2, 0.2)",17.3,53.9,2.2,0.2
"1505","Christian County, Missouri",15,"9.8 (9.3, 10.3)","1.5 (1.4, 1.5)",10.2,54.3,0.3,0.9
"1506","Clark County, Missouri",1.5,"10.9 (10.3, 11.4)","0.2 (0.2, 0.2)",13.6,51.9,0.2,0.4
"1507","Clay County, Missouri",37.7,"10.3 (9.8, 10.9)","3.9 (3.7, 4.1)",11,56,3,3.2
"1508","Clinton County, Missouri",3.8,"10.9 (10.3, 11.4)","0.4 (0.4, 0.4)",13.3,52.9,1.7,1
"1509","Cole County, Missouri",13.5,"10.6 (10.1, 11.2)","1.4 (1.4, 1.5)",12.4,55.6,3.7,1.1
"1510","Cooper County, Missouri",3.3,"11.2 (10.6, 11.7)","0.4 (0.4, 0.4)",13.9,56.1,3.1,0.5
"1511","Crawford County, Missouri",4.8,"10.1 (9.5, 10.6)","0.5 (0.5, 0.5)",10.8,53.6,0.4,0.8
"1512","Dade County, Missouri",1.8,"10.6 (10, 11.1)","0.2 (0.2, 0.2)",12.7,52.1,0.5,1.2
"1513","Dallas County, Missouri",3.6,"10.4 (9.8, 10.9)","0.4 (0.4, 0.4)",11.9,52.8,0.3,1.4
"1514","Daviess County, Missouri",1.7,"10.1 (9.6, 10.6)","0.2 (0.2, 0.2)",11.2,51.1,0.1,0.7
"1515","DeKalb County, Missouri",2.1,"12.1 (11.5, 12.7)","0.3 (0.2, 0.3)",16.7,53.8,1,0.9
"1516","Dent County, Missouri",3.5,"11 (10.5, 11.6)","0.4 (0.4, 0.4)",13.2,54.2,0.6,1.1
"1517","Douglas County, Missouri",3.4,"10.3 (9.7, 10.8)","0.3 (0.3, 0.4)",11.5,52.9,0.4,0.8
"1518","Dunklin County, Missouri",5.5,"11.3 (10.7, 11.9)","0.6 (0.6, 0.6)",12.6,57.9,5.8,1.8
"1519","Franklin County, Missouri",19.3,"10.1 (9.6, 10.7)","2 (1.9, 2.1)",11.1,54.3,0.8,0.7
"1520","Gasconade County, Missouri",3.4,"11 (10.4, 11.5)","0.4 (0.4, 0.4)",13.8,54.5,0.4,0.6
"1521","Gentry County, Missouri",1.3,"12.2 (11.6, 12.8)","0.2 (0.2, 0.2)",17.3,56.4,0.5,0.6
"1522","Greene County, Missouri",50.5,"11 (10.4, 11.5)","5.5 (5.3, 5.8)",13.4,57.4,1.3,1.2
"1523","Grundy County, Missouri",2.1,"12.3 (11.7, 12.9)","0.3 (0.2, 0.3)",17,55.6,0.7,0.7
"1524","Harrison County, Missouri",1.9,"11.9 (11.3, 12.5)","0.2 (0.2, 0.2)",16.8,55.6,0.5,0.7
"1525","Henry County, Missouri",5,"10.3 (9.8, 10.9)","0.5 (0.5, 0.5)",11.1,54.1,0.9,0.8
"1526","Hickory County, Missouri",3.2,"10.2 (9.7, 10.7)","0.3 (0.3, 0.3)",10.7,50.4,0.3,0.7
"1527","Holt County, Missouri",1.1,"12.2 (11.7, 12.8)","0.1 (0.1, 0.1)",18.8,53.8,0.4,0.2
"1528","Howard County, Missouri",2,"11 (10.5, 11.6)","0.2 (0.2, 0.2)",13.2,54.2,4.7,0.4
"1529","Howell County, Missouri",8.2,"10.7 (10.1, 11.2)","0.9 (0.8, 0.9)",12.6,55.8,0.5,1.1
"1530","Iron County, Missouri",2.3,"10.5 (10, 11.1)","0.2 (0.2, 0.2)",12.1,54.4,1.2,0.8
"1531","Jackson County, Missouri",111.1,"12.4 (11.8, 13)","13.8 (13.1, 14.5)",12.6,57.1,19.4,3.6
"1532","Jasper County, Missouri",19.7,"10.7 (10.1, 11.2)","2.1 (2, 2.2)",12.5,56.7,1,2
"1533","Jefferson County, Missouri",36.5,"9.2 (8.7, 9.7)","3.4 (3.2, 3.5)",8.7,54.5,0.6,0.9
"1534","Johnson County, Missouri",7.1,"10.6 (10, 11.1)","0.8 (0.7, 0.8)",12.3,52.4,2.7,1.2
"1535","Knox County, Missouri",0.9,"11.3 (10.7, 11.9)","0.1 (0.1, 0.1)",13.8,55.5,0.6,0.7
"1536","Laclede County, Missouri",6.6,"10 (9.5, 10.5)","0.7 (0.6, 0.7)",10.2,55.2,0.4,0.9
"1537","Lafayette County, Missouri",6.4,"11.3 (10.7, 11.8)","0.7 (0.7, 0.8)",14,53.8,1.7,0.9
"1538","Lawrence County, Missouri",7.1,"11 (10.5, 11.6)","0.8 (0.7, 0.8)",13.5,53.4,0.1,2
"1539","Lewis County, Missouri",1.9,"11.4 (10.8, 12)","0.2 (0.2, 0.2)",14,54.2,2.2,0.5
"1540","Lincoln County, Missouri",8.6,"9.7 (9.2, 10.2)","0.8 (0.8, 0.9)",10,52.3,2,1
"1541","Linn County, Missouri",2.6,"11.2 (10.6, 11.8)","0.3 (0.3, 0.3)",14.2,56.2,0.7,1.1
"1542","Livingston County, Missouri",3,"12 (11.5, 12.6)","0.4 (0.3, 0.4)",16.9,56,0.8,0.6
"1543","McDonald County, Missouri",3.6,"9.7 (9.2, 10.3)","0.4 (0.3, 0.4)",9.4,52.4,1.1,2.9
"1544","Macon County, Missouri",3.5,"11.2 (10.7, 11.8)","0.4 (0.4, 0.4)",13.6,55,1.4,0.5
"1545","Madison County, Missouri",2.4,"10.4 (9.9, 11)","0.3 (0.2, 0.3)",12.1,53.9,0.1,0.9
"1546","Maries County, Missouri",2,"10.5 (10, 11)","0.2 (0.2, 0.2)",11.5,52.6,0.3,0.5
"1547","Marion County, Missouri",5.3,"11 (10.5, 11.6)","0.6 (0.6, 0.6)",13.4,56,3.3,0.7
"1548","Mercer County, Missouri",0.8,"11.8 (11.2, 12.4)","0.1 (0.1, 0.1)",17.1,52.2,0.2,0.5
"1549","Miller County, Missouri",5.1,"10.2 (9.7, 10.8)","0.5 (0.5, 0.5)",11.8,53.2,0.3,0.7
"1550","Mississippi County, Missouri",2.4,"11.7 (11.1, 12.2)","0.3 (0.3, 0.3)",11.3,56.3,13.3,0.5
"1551","Moniteau County, Missouri",2.6,"10.7 (10.2, 11.3)","0.3 (0.3, 0.3)",12.9,53.8,0.9,1
"1552","Monroe County, Missouri",2.1,"10.9 (10.3, 11.4)","0.2 (0.2, 0.2)",12.9,51.6,1.9,0.4
"1553","Montgomery County, Missouri",2.4,"11.5 (10.9, 12)","0.3 (0.3, 0.3)",15.4,54.8,1.6,0.6
"1554","Morgan County, Missouri",5,"10.2 (9.6, 10.7)","0.5 (0.5, 0.5)",10.7,50.7,0.7,1.3
"1555","New Madrid County, Missouri",3.3,"11.5 (10.9, 12)","0.4 (0.4, 0.4)",11.6,57.3,11.3,0.7
"1556","Newton County, Missouri",11.1,"10.1 (9.6, 10.7)","1.1 (1.1, 1.2)",10.6,54.7,0.7,1.4
"1557","Nodaway County, Missouri",3.5,"11.5 (10.9, 12.1)","0.4 (0.4, 0.4)",15.2,55,0.4,0.6
"1558","Oregon County, Missouri",2.5,"10.6 (10, 11.2)","0.3 (0.2, 0.3)",11.7,53.1,0.3,1.3
"1559","Osage County, Missouri",2.5,"10.7 (10.2, 11.3)","0.3 (0.3, 0.3)",12.7,52.6,0.4,0.6
"1560","Ozark County, Missouri",2.7,"10.1 (9.6, 10.6)","0.3 (0.3, 0.3)",10.8,49.5,0.1,1.3
"1561","Pemiscot County, Missouri",2.8,"12.4 (11.8, 13)","0.3 (0.3, 0.4)",12.7,56.8,18.5,0.9
"1562","Perry County, Missouri",3.8,"11 (10.4, 11.5)","0.4 (0.4, 0.4)",13.8,53.8,0.4,0.7
"1563","Pettis County, Missouri",7.4,"11.2 (10.6, 11.8)","0.8 (0.8, 0.9)",14,55.1,2.5,2.2
"1564","Phelps County, Missouri",7.7,"10.9 (10.3, 11.4)","0.8 (0.8, 0.9)",13,54.7,1,1
"1565","Pike County, Missouri",3.4,"10.8 (10.2, 11.3)","0.4 (0.3, 0.4)",11.2,54.5,3.5,0.6
"1566","Platte County, Missouri",16.6,"10.2 (9.6, 10.7)","1.7 (1.6, 1.8)",10.9,54.3,3,2.6
"1567","Polk County, Missouri",5.9,"10.8 (10.3, 11.4)","0.6 (0.6, 0.7)",12.7,54.9,0.2,1.1
"1568","Pulaski County, Missouri",4.9,"10.4 (9.8, 11)","0.5 (0.5, 0.5)",10.6,54.7,5.3,2.8
"1569","Putnam County, Missouri",1.2,"10.9 (10.3, 11.4)","0.1 (0.1, 0.1)",13.3,53.4,0.3,0.4
"1570","Ralls County, Missouri",2.3,"9.7 (9.2, 10.2)","0.2 (0.2, 0.2)",9.4,52.5,1.2,0.7
"1571","Randolph County, Missouri",4.2,"11.1 (10.5, 11.6)","0.5 (0.4, 0.5)",12.9,56,3.9,1.1
"1572","Ray County, Missouri",4.4,"10.4 (9.9, 11)","0.5 (0.4, 0.5)",11.5,54.8,1.1,0.8
"1573","Reynolds County, Missouri",1.5,"10.8 (10.2, 11.3)","0.2 (0.2, 0.2)",12.3,50.1,0.7,0.8
"1574","Ripley County, Missouri",2.8,"10.8 (10.2, 11.3)","0.3 (0.3, 0.3)",12.2,53.6,0.2,1
"1575","St. Charles County, Missouri",66,"10.4 (9.9, 11)","6.9 (6.5, 7.2)",11.6,55.7,3.1,1.2
"1576","St. Clair County, Missouri",2.6,"11.2 (10.6, 11.7)","0.3 (0.3, 0.3)",13.8,51.9,0.3,1
"1577","Ste. Genevieve County, Missouri",3.7,"10.2 (9.7, 10.7)","0.4 (0.4, 0.4)",12,51.3,0.6,0.5
"1578","St. Francois County, Missouri",11.4,"10.3 (9.8, 10.8)","1.2 (1.1, 1.2)",11,54.7,0.6,0.8
"1579","St. Louis County, Missouri",188,"12.5 (12, 13.1)","23.6 (22.5, 24.7)",14,57.8,17.3,1
"1580","Saline County, Missouri",4.3,"11.6 (10.9, 12.2)","0.5 (0.5, 0.5)",13.5,54.9,3.8,4.2
"1581","Schuyler County, Missouri",0.9,"11.4 (10.8, 12)","0.1 (0.1, 0.1)",13.8,54.2,0.4,0.3
"1582","Scotland County, Missouri",1,"11.6 (11, 12.1)","0.1 (0.1, 0.1)",15.3,54.1,0,0.2
"1583","Scott County, Missouri",7.3,"11.1 (10.5, 11.6)","0.8 (0.8, 0.8)",12,56.8,7.2,0.8
"1584","Shannon County, Missouri",1.9,"10.1 (9.5, 10.6)","0.2 (0.2, 0.2)",9.7,54,0.4,0.9
"1585","Shelby County, Missouri",1.3,"11.4 (10.9, 12)","0.2 (0.1, 0.2)",15.2,54.3,0.2,0.9
"1586","Stoddard County, Missouri",6,"11.3 (10.7, 11.9)","0.7 (0.6, 0.7)",14.3,55.8,0.9,0.8
"1587","Stone County, Missouri",10.4,"9.4 (8.9, 9.9)","1 (0.9, 1)",8.5,51.5,0.2,0.9
"1588","Sullivan County, Missouri",1.2,"10.8 (10.1, 11.4)","0.1 (0.1, 0.1)",11.5,53.3,0.9,5.3
"1589","Taney County, Missouri",12.8,"10.1 (9.6, 10.7)","1.3 (1.2, 1.4)",10.3,54.1,0.5,1.4
"1590","Texas County, Missouri",5.6,"11 (10.4, 11.5)","0.6 (0.6, 0.6)",13.4,53.7,0.8,1.2
"1591","Vernon County, Missouri",4.2,"11 (10.5, 11.6)","0.5 (0.4, 0.5)",14.2,54.2,0.2,0.7
"1592","Warren County, Missouri",6.7,"10.2 (9.6, 10.7)","0.7 (0.6, 0.7)",10.6,52.2,1.5,1.3
"1593","Washington County, Missouri",4.4,"9.4 (8.9, 9.9)","0.4 (0.4, 0.4)",8.5,52,1.1,1
"1594","Wayne County, Missouri",3.2,"10.3 (9.8, 10.9)","0.3 (0.3, 0.3)",11,52.6,0.5,1
"1595","Webster County, Missouri",6.3,"10.1 (9.6, 10.6)","0.6 (0.6, 0.7)",10.6,53.1,0.4,0.8
"1596","Worth County, Missouri",0.5,"12.4 (11.8, 13)","0.1 (0.1, 0.1)",18.1,55.6,0.4,0.4
"1597","Wright County, Missouri",3.7,"10.4 (9.9, 11)","0.4 (0.4, 0.4)",11.6,54.4,0.6,0.9
"1598","St. Louis City, Missouri",43.8,"14.6 (13.9, 15.2)","6.4 (6.1, 6.7)",12.1,57.1,45.4,1.7
"1599","Beaverhead County, Montana",2.2,"10 (9.5, 10.5)","0.2 (0.2, 0.2)",10.5,49.3,0.4,1.5
"1600","Big Horn County, Montana",1.8,"9.4 (8.8, 9.9)","0.2 (0.2, 0.2)",9,51.6,0.4,2.3
"1601","Blaine County, Montana",1,"10.5 (10, 11)","0.1 (0.1, 0.1)",12.2,55.4,0.4,1
"1602","Broadwater County, Montana",1.6,"9.2 (8.7, 9.7)","0.1 (0.1, 0.2)",8,47.5,0.5,1.5
"1603","Carbon County, Montana",2.9,"9.6 (9.1, 10.1)","0.3 (0.3, 0.3)",10.2,49.1,0.3,1.1
"1604","Carter County, Montana",0.3,"10.7 (10.1, 11.2)","0 (0, 0)",14.2,50.5,0.3,0.9
"1605","Cascade County, Montana",15.9,"10.8 (10.3, 11.4)","1.7 (1.6, 1.8)",13.1,54.2,0.6,1.2
"1606","Chouteau County, Montana",1.3,"10.3 (9.8, 10.9)","0.1 (0.1, 0.1)",12.6,51.6,0.1,0.6
"1607","Custer County, Montana",2.3,"10.9 (10.4, 11.5)","0.3 (0.2, 0.3)",13.9,54.4,0.3,1.4
"1608","Daniels County, Montana",0.4,"13.4 (12.8, 14)","0.1 (0.1, 0.1)",22.7,53.7,0,0.9
"1609","Dawson County, Montana",1.8,"11.1 (10.5, 11.6)","0.2 (0.2, 0.2)",15.4,52,0.1,0.9
"1610","Deer Lodge County, Montana",2.3,"9.5 (9, 10)","0.2 (0.2, 0.2)",9.2,50.2,0.5,1.4
"1611","Fallon County, Montana",0.5,"10.7 (10.1, 11.2)","0.1 (0.1, 0.1)",13.2,53.6,0.2,0.4
"1612","Fergus County, Montana",2.8,"10.3 (9.8, 10.9)","0.3 (0.3, 0.3)",11.8,51.4,0.2,0.9
"1613","Flathead County, Montana",22,"9.1 (8.6, 9.6)","2 (1.9, 2.1)",8.9,51.7,0.1,1.2
"1614","Gallatin County, Montana",15.6,"9.2 (8.7, 9.7)","1.4 (1.4, 1.5)",9.8,51.8,0.2,1.4
"1615","Garfield County, Montana",0.3,"9.4 (9, 9.9)","0 (0, 0)",8.6,45.7,0,0
"1616","Glacier County, Montana",1.7,"10 (9.4, 10.5)","0.2 (0.2, 0.2)",11.6,55.2,0.4,0.6
"1617","Golden Valley County, Montana",0.3,"10.8 (10.3, 11.4)","0 (0, 0)",13.3,51.4,0.4,2
"1618","Granite County, Montana",1.1,"9.4 (8.9, 9.9)","0.1 (0.1, 0.1)",8.9,47.3,0.2,0.7
"1619","Hill County, Montana",2.5,"10.2 (9.7, 10.7)","0.3 (0.2, 0.3)",12.2,51.6,0.2,1.4
"1620","Jefferson County, Montana",2.9,"7.9 (7.5, 8.4)","0.2 (0.2, 0.2)",5.8,48.6,0.3,1.4
